,total_score,Sc,Sc_int_area,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,ddg,delta_unsatHbonds,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_E_fraction,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hbonds_int,lk_ball_wtd,nres_all,nres_int,omega,p_aa_pp,packstat,per_residue_energy_int,pro_close,rama_prepro,ref,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,binding,cluster
25,-1772.999,0.774,615.173,-2.919,0.0,0.0,-42.435,-3.352,688.2,1266.079,577.879,-36.542,0.0,0.0,-3636.434,809.2639999999999,-1054.681,7.584,119.531,371.429,2197.885,0.372,-152.061,-128.366,-81.973,-229.882,17.0,-89.38,609.0,4.0,55.836000000000006,-168.253,0.0,0.109,19.933,-6.6160000000000005,193.183,0.8590000000000001,0.48,0.96,-0.262,-0.524,1,1
26,-950.357,-1.0,-1.0,-2.84,0.0,0.0,-81.745,-2.708,1346.594,3018.812,1672.2179999999998,-67.059,11.0,0.0,-1983.917,474.746,-577.497,3.429,69.007,191.799,1198.701,0.345,-61.747,-72.059,-41.894,-126.799,29.0,-58.325,339.0,78.0,36.55,-63.907,0.0,-3.193,6.04,-27.656,83.17200000000001,0.718,-3.574,-142.94299999999998,-2.793,-106.138,1,1
27,-3102.422,0.6579999999999999,3100.4590000000003,-2.755,0.0,0.0,-133.898,-2.314,3383.823,5786.167,2402.344,-118.82,6.0,-8.453,-6905.511,1797.7579999999998,-2199.933,13.935,261.668,722.45,4583.325,0.418,-225.727,-208.33900000000003,-239.62,-464.031,45.0,-186.116,1135.0,157.0,46.585,-194.993,0.0,-3.079,5.207000000000001,-19.218,118.591,0.643,-2.6,-194.977,-3.517,-288.385,1,1
28,-622.814,0.619,1770.1629999999998,-2.305,-74.35600000000001,-2.7430000000000003,-54.915,-2.026,1596.318,2710.32,1114.002,-40.661,13.0,0.0,-1652.235,457.213,-436.549,3.882,66.65100000000001,214.064,947.073,0.238,-41.569,-102.833,-44.433,-71.161,10.0,-38.89,282.0,110.0,26.613000000000003,-58.246,0.0,-2.74,2.068,15.286,90.251,0.631,-2.799,-156.769,-2.678,-144.616,1,1
29,-1034.487,0.7509999999999999,971.153,-3.196,-54.131,-3.637,-51.214,-3.4410000000000003,868.762,1488.2420000000002,619.48,-49.432,8.0,-3.505,-1944.861,283.536,-507.823,2.769,46.453,208.649,1112.768,0.21,-84.569,-90.678,-36.817,-97.422,11.0,-52.12,325.0,87.0,19.014,-76.782,0.0,-3.099,3.3,5.638999999999999,177.963,0.755,-3.301,-201.357,-2.6260000000000003,-68.266,1,1
30,-2045.415,0.632,1146.462,-2.447,-48.182,-2.301,-34.143,-1.63,1112.595,2094.365,981.77,-20.516,14.0,0.0,-4867.963,1354.19,-1427.7089999999998,9.288,183.084,518.804,3006.436,0.247,-192.051,-272.85900000000004,-138.6,-189.518,7.0,-124.578,846.0,74.0,105.423,-170.011,0.0,-2.28,8.677999999999999,12.319,139.65200000000002,0.644,-2.441,-100.091,-2.079,-68.611,1,1
31,-900.059,0.624,1358.7520000000002,-3.028,-73.684,-3.3080000000000003,-61.518,-2.762,1331.001,2227.621,896.62,-52.148,3.0,0.0,-1885.211,488.467,-549.823,3.32,68.298,202.065,1122.319,0.282,-83.405,-63.542,-51.433,-98.796,12.0,-42.821000000000005,305.0,88.0,13.823,-67.5,0.0,-3.407,3.17,-13.003,54.014,0.618,-2.903,-130.636,-3.934,-169.158,1,1
32,-1036.68,0.787,636.187,-2.6060000000000003,-47.949,-4.09,-42.585,-3.633,722.679,1172.321,449.642,-40.047,5.0,0.0,-2364.789,603.12,-736.722,4.437,92.705,247.52,1516.066,0.236,-48.361,-58.08,-62.067,-215.683,7.0,-65.183,399.0,48.0,43.685,-53.639,0.0,-3.199,3.0410000000000004,-13.654000000000002,70.925,0.777,-3.174,-76.186,-3.224,-77.385,1,1
33,-598.766,0.6409999999999999,997.945,-3.117,-55.528,-2.784,-46.687,-2.341,952.629,1994.328,1041.7,-46.95399999999999,6.0,0.0,-1184.121,274.829,-390.201,2.228,45.416,115.459,807.2560000000001,0.2689999999999999,-54.628,-26.177,-29.317,-89.059,12.0,-35.386,194.0,64.0,8.337,-36.515,0.0,-2.841,0.6579999999999999,-24.77,17.224,0.648,-2.94,-91.133,-2.748,-90.671,1,0
34,-1320.848,0.792,4352.525,-3.31,-302.51,-5.124,-280.187,-4.746,3353.56,5903.27,2549.709,-273.166,21.0,0.0,-2423.951,439.4330000000001,-754.8589999999999,3.692,69.882,250.187,1431.799,0.2339999999999999,-119.65,-120.771,-52.474,-133.668,55.0,-56.038,404.0,199.0,40.472,-87.307,0.0,-3.594,2.461,-8.158,198.101,0.785,-3.347,-361.495,-3.886,-353.662,1,1
